4 02 02 010 99 00003;ATHLETIC DEVELOPMENT FEES;1950.35
4 02 02 010 01 00000;TUITION FEES;1000.00
4 02 01 990 99 00003;ENGLISH TEST;467.00
4 02 02 010 99 00002;ATHLETIC FEES;7319.50
4 02 02 010 99 00006;LIBRARY FEES;1150.00
4 02 02 990 99 00005;MEDICAL EXAM;8030.00
4 02 02 010 99 00005;GRADUATION FEE;5000.00
4 02 02 010 99 00004;DIPLOMA;350.00
4 02 02 990 99 00004;BOOKS;1930.25
4 02 01 990 99 00041;ENERGY FEE;654.50
4 02 01 990 99 00044;VERIFICATION;200.00
4 02 02 050 00 00001;RENTAL;3200.25
4 02 02 010 99 00010;TRANSCRIPT OF RECORD FEES(SCANNED PHOTO);500.00
4 02 02 050 00 00000;RENT INCOME/CANTEEN;2430.00
4 02 02 010 99 00007;MEDICAL, DENTAL;280.00
4 02 01 040 00 00000;CLEARANCE AND CERTIFICATION FEE;700.00
4 02 02 010 01 00001;TUITION FEES NSTP;2200.00
4 02 01 990 99 00039;PUP SPONSOR SEMINAR;5000.00
4 02 02 990 99 00007;SCHOOL UNIFORM;1400.00
4 02 01 990 99 00006;GRADUATE FORUM;300.00
4 02 02 050 00 00006;FACILITIES;4500.00
4 02 01 990 99 00049;MASTER STATISTICAL CONSULTANCY;388.60
4 02 01 140 00 00000;FINES AND PENALTIES;318.75
